solution_id,algorithm,makespan,carbon,truck_id,truck_route,drone_customers
16,NSGAII,274.91,1445.3,4,"[0, 50, 77, 58, 62, 48, 43, 99, 33, 17, 40, 30, 64, 74, 85, 98, 73, 41, 95, 10, 28, 46, 75, 55, 9, 8, 80, 0]",[58]
16,NSGAII,274.91,1445.3,5,"[0, 89, 0]",[]
16,NSGAII,274.91,1445.3,6,"[0, 4, 0]",[]
17,NSGAII,254.84,1449.61,1,"[0, 27, 38, 42, 97, 61, 60, 52, 87, 6, 65, 90, 5, 32, 3, 54, 70, 72, 67, 86, 84, 39, 68, 37, 33, 22, 1, 34, 25, 0]",[33]
17,NSGAII,254.84,1449.61,2,"[0, 93, 7, 28, 69, 47, 44, 59, 26, 83, 11, 41, 13, 12, 20, 91, 18, 19, 71, 35, 16, 56, 23, 82, 36, 49, 45, 24, 66, 2, 0]","[66, 83]"
17,NSGAII,254.84,1449.61,3,"[0, 96, 21, 0]",[96]
17,NSGAII,254.84,1449.61,4,"[0, 92, 0]",[]
17,NSGAII,254.84,1449.61,5,"[0, 57, 95, 73, 17, 31, 64, 74, 88, 85, 98, 10, 89, 46, 81, 8, 80, 53, 77, 99, 0]","[8, 95]"
17,NSGAII,254.84,1449.61,6,"[0, 50, 58, 62, 48, 43, 40, 15, 30, 78, 63, 14, 76, 100, 9, 55, 75, 29, 79, 51, 94, 4, 0]","[43, 55, 76]"
18,NSGAII,244.79,1495.72,1,"[0, 77, 58, 9, 0]",[]
18,NSGAII,244.79,1495.72,2,"[0, 4, 28, 89, 38, 14, 73, 27, 31, 99, 0]",[]
18,NSGAII,244.79,1495.72,3,"[0, 96, 42, 97, 61, 60, 52, 87, 6, 65, 90, 5, 32, 3, 54, 70, 72, 67, 86, 22, 33, 84, 68, 37, 1, 34, 25, 50, 0]",[32]
18,NSGAII,244.79,1495.72,4,"[0, 92, 2, 19, 71, 16, 18, 21, 56, 39, 23, 82, 36, 49, 45, 24, 53, 66, 100, 69, 47, 44, 59, 26, 83, 11, 41, 13, 0]",[66]
18,NSGAII,244.79,1495.72,5,"[0, 35, 91, 20, 12, 57, 7, 93, 94, 0]",[35]
18,NSGAII,244.79,1495.72,6,"[0, 10, 46, 8, 81, 76, 55, 75, 29, 79, 51, 80, 48, 62, 43, 17, 40, 98, 85, 88, 63, 74, 78, 64, 30, 15, 95, 0]",[79]
19,NSGAII,243.79,1529.32,1,"[0, 27, 38, 42, 97, 61, 60, 52, 87, 6, 65, 90, 5, 32, 3, 86, 67, 39, 68, 84, 33, 22, 1, 34, 0]",[33]
19,NSGAII,243.79,1529.32,2,"[0, 2, 91, 19, 35, 71, 16, 18, 56, 23, 82, 36, 49, 45, 24, 66, 93, 7, 69, 47, 44, 59, 26, 83, 11, 41, 12, 13, 0]","[19, 66]"
19,NSGAII,243.79,1529.32,3,"[0, 20, 96, 0]",[20]
19,NSGAII,243.79,1529.32,4,"[0, 4, 53, 80, 100, 8, 9, 46, 28, 89, 10, 57, 95, 73, 30, 64, 74, 88, 85, 98, 31, 17, 21, 99, 77, 58, 48, 92, 50, 0]","[8, 89]"
19,NSGAII,243.79,1529.32,5,"[0, 76, 81, 75, 55, 29, 79, 51, 94, 62, 43, 40, 15, 78, 63, 14, 0]",[]
19,NSGAII,243.79,1529.32,6,"[0, 25, 37, 72, 70, 54, 0]",[]
