solution_id,algorithm,makespan,carbon,truck_id,truck_route,drone_customers
5,PFG_MOEAD,248.57,796.22,5,"[0, 45, 3, 36, 54, 70, 72, 67, 86, 82, 23, 84, 56, 39, 68, 37, 33, 22, 21, 1, 34, 99, 2, 25, 43, 92, 62, 48, 58, 77, 50, 0]","[22, 43, 58, 62]"
5,PFG_MOEAD,248.57,796.22,6,"[0, 91, 19, 18, 16, 40, 0]",[]
6,PFG_MOEAD,208.45,836.2,1,"[0, 25, 2, 99, 1, 22, 23, 84, 56, 39, 68, 37, 33, 21, 91, 18, 16, 40, 19, 31, 17, 20, 0]","[20, 22, 31]"
6,PFG_MOEAD,208.45,836.2,2,"[0, 35, 71, 30, 64, 78, 74, 63, 88, 85, 98, 15, 73, 0]",[]
6,PFG_MOEAD,208.45,836.2,3,"[0, 13, 27, 12, 41, 95, 57, 96, 11, 14, 83, 26, 10, 89, 59, 44, 38, 47, 69, 28, 42, 7, 46, 0]","[14, 28, 89, 96]"
6,PFG_MOEAD,208.45,836.2,4,"[0, 8, 100, 81, 76, 9, 55, 75, 93, 97, 61, 60, 52, 87, 6, 65, 90, 29, 5, 79, 0]","[8, 75, 76]"
6,PFG_MOEAD,208.45,836.2,5,"[0, 51, 94, 66, 53, 80, 4, 0]",[]
6,PFG_MOEAD,208.45,836.2,6,"[0, 24, 45, 49, 32, 36, 54, 70, 72, 67, 86, 82, 3, 58, 77, 50, 48, 62, 92, 34, 43, 0]","[32, 70, 86]"
7,PFG_MOEAD,194.57,966.46,1,"[0, 32, 3, 36, 54, 70, 72, 67, 86, 82, 23, 62, 48, 58, 77, 50, 92, 43, 0]","[62, 86]"
7,PFG_MOEAD,194.57,966.46,2,"[0, 25, 2, 99, 34, 1, 21, 22, 84, 56, 39, 68, 37, 33, 91, 20, 0]",[]
7,PFG_MOEAD,194.57,966.46,3,"[0, 19, 18, 16, 40, 17, 31, 35, 71, 30, 64, 78, 74, 63, 88, 85, 98, 15, 12, 0]","[19, 31, 98]"
7,PFG_MOEAD,194.57,966.46,4,"[0, 4, 100, 81, 42, 7, 8, 95, 57, 96, 83, 14, 73, 41, 27, 13, 0]","[8, 57, 83]"
7,PFG_MOEAD,194.57,966.46,5,"[0, 11, 89, 10, 26, 59, 44, 38, 47, 69, 28, 46, 75, 55, 61, 97, 93, 0]",[89]
7,PFG_MOEAD,194.57,966.46,6,"[0, 76, 9, 60, 52, 87, 6, 65, 90, 29, 5, 79, 51, 49, 94, 66, 53, 80, 45, 24, 0]","[66, 76, 79]"
8,PFG_MOEAD,211.81,821.47,1,"[0, 2, 99, 1, 22, 23, 84, 56, 39, 68, 37, 33, 21, 91, 20, 0]","[22, 33]"
8,PFG_MOEAD,211.81,821.47,2,"[0, 17, 31, 19, 18, 16, 40, 35, 71, 30, 64, 78, 74, 63, 88, 85, 98, 15, 73, 14, 41, 12, 27, 13, 0]","[31, 35, 63, 98]"
8,PFG_MOEAD,211.81,821.47,3,"[0, 95, 57, 96, 11, 83, 26, 10, 89, 59, 44, 38, 47, 69, 28, 46, 7, 42, 76, 9, 55, 75, 81, 0]","[9, 83]"
8,PFG_MOEAD,211.81,821.47,4,"[0, 8, 100, 93, 97, 61, 60, 5, 29, 52, 87, 6, 65, 90, 79, 51, 94, 0]","[79, 94]"
8,PFG_MOEAD,211.81,821.47,5,"[0, 4, 80, 66, 82, 86, 67, 72, 70, 54, 36, 3, 32, 49, 45, 24, 53, 0]",[24]
8,PFG_MOEAD,211.81,821.47,6,"[0, 50, 77, 58, 62, 48, 92, 34, 43, 25, 0]","[43, 58]"
9,PFG_MOEAD,201.81,930.75,1,"[0, 50, 92, 62, 48, 77, 58, 86, 82, 4, 0]",[]
9,PFG_MOEAD,201.81,930.75,2,"[0, 93, 97, 61, 60, 52, 87, 6, 65, 90, 29, 5, 79, 51, 24, 45, 53, 66, 43, 0]","[43, 93]"
9,PFG_MOEAD,201.81,930.75,3,"[0, 25, 2, 99, 34, 1, 22, 23, 84, 56, 39, 68, 37, 33, 21, 91, 19, 31, 17, 20, 0]","[25, 31]"
9,PFG_MOEAD,201.81,930.75,4,"[0, 18, 16, 40, 35, 71, 30, 64, 78, 74, 63, 88, 85, 98, 15, 73, 0]",[98]
9,PFG_MOEAD,201.81,930.75,5,"[0, 13, 27, 12, 14, 41, 95, 57, 96, 11, 83, 26, 10, 89, 59, 44, 38, 47, 69, 28, 42, 7, 46, 0]","[28, 83, 89, 95]"
9,PFG_MOEAD,201.81,930.75,6,"[0, 8, 81, 75, 55, 9, 76, 100, 80, 94, 49, 32, 67, 72, 70, 54, 36, 3, 0]",[8]
10,PFG_MOEAD,203.33,911.83,1,"[0, 92, 33, 37, 68, 39, 56, 84, 23, 22, 1, 34, 99, 2, 25, 43, 0]",[]
